Account Length (Weeks),Messages,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Calls,Int'l Plan,Message Plan,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,State,Area Code,Phone,Churn
34,0,124.8,282.2,311.5,10,2,0,0,82,21.22,98,23.99,78,14.02,4,2.7,AR,510,353-7121,0
160,0,85.8,165.3,178.5,9.2,3,0,0,77,14.59,110,14.05,92,8.03,4,2.48,ID,415,390-3873,0
64,0,154,225.8,265.3,3.5,1,0,0,67,26.18,118,19.19,86,11.94,3,0.95,WI,510,352-8337,0
59,28,120.9,213,163.1,8.5,2,0,1,97,20.55,92,18.11,116,7.34,5,2.3,OR,408,353-4326,0
65,0,211.3,162.6,134.7,13.2,3,0,0,120,35.92,122,13.82,118,6.06,5,3.56,MI,415,363-0423,0
142,0,187,134.6,242.2,7.4,2,0,0,133,31.79,74,11.44,127,10.9,5,2,DE,408,364-1927,0
119,0,159.1,231.3,143.2,8.8,5,0,0,114,27.05,117,19.66,91,6.44,3,2.38,ID,415,398-4399,1
97,24,133.2,217.2,70.6,11,1,0,1,135,22.64,58,18.46,79,3.18,3,2.97,WY,415,405-0191,0
52,0,191.9,269.8,236.8,7.8,3,0,0,108,32.62,96,22.93,87,10.66,5,2.11,IA,408,413-1009,0
60,0,220.6,211.1,249,6.8,1,0,0,57,37.5,115,17.94,129,11.21,3,1.84,IN,408,420-8994,0
10,0,186.1,190.2,282.8,11.4,2,0,0,112,31.64,66,16.17,57,12.73,6,3.08,VA,408,349-9350,0
96,0,160.2,267.5,228.5,9.3,2,0,0,117,27.23,67,22.74,68,10.28,5,2.51,UT,415,404-7580,0
87,0,151,219.7,203.9,9.7,5,0,0,83,25.67,116,18.67,127,9.18,3,2.62,WY,415,353-2110,1
81,0,175.5,249.3,270.2,10.2,1,0,0,67,29.84,85,21.19,98,12.16,3,2.75,IN,408,363-8283,0
141,0,126.9,180,140.8,8,1,0,0,98,21.57,62,15.3,128,6.34,2,2.16,CO,415,340-3692,0
121,30,198.4,75.3,181.2,5.8,3,0,1,129,33.73,77,6.4,77,8.15,3,1.57,CO,408,370-2128,1
68,0,148.8,246.5,129.8,12.1,3,0,0,70,25.3,164,20.95,103,5.84,3,3.27,WI,415,403-3629,0
125,0,229.3,177.4,189.3,12,1,0,0,103,38.98,126,15.08,95,8.52,8,3.24,OK,408,355-2914,0
174,0,192.1,169.9,166.6,11.4,1,0,0,97,32.66,94,14.44,54,7.5,4,3.08,ID,408,359-7898,0
116,34,268.6,178.2,166.3,11.6,2,0,1,83,45.66,142,15.15,106,7.48,3,3.13,CA,415,405-6378,0
74,33,193.7,246.1,138,14.6,2,0,1,91,32.93,96,20.92,92,6.21,3,3.94,MN,510,344-3746,0
149,28,180.7,187.8,265.5,12.6,3,0,1,92,30.72,64,15.96,53,11.95,3,3.4,SD,408,332-6002,0
38,0,131.2,162.9,159,8.2,2,0,0,98,22.3,97,13.85,106,7.15,6,2.21,NC,408,359-6035,0
40,41,148.1,169.5,214.1,6.2,2,0,1,74,25.18,88,14.41,102,9.63,5,1.67,WA,415,352-3360,0
43,0,251.5,212.8,157.8,9.3,0,1,0,105,42.76,104,18.09,67,7.1,4,2.51,WY,415,329-0989,0
113,0,125.2,206.4,129.3,8.3,0,1,0,93,21.28,119,17.54,139,5.82,8,2.24,MN,408,365-6020,0
126,0,211.6,216.9,153.5,7.8,1,0,0,70,35.97,80,18.44,60,6.91,1,2.11,UT,408,338-2403,0
150,0,178.9,169.1,148.6,13.8,4,0,0,101,30.41,110,14.37,100,6.69,3,3.73,TX,510,374-5508,1
138,0,241.8,170.5,295.3,11.8,3,0,0,93,41.11,83,14.49,104,13.29,7,3.19,NJ,408,359-1869,0
162,46,224.9,188.2,254.6,12.1,0,0,1,97,38.23,84,16,61,11.46,2,3.27,MN,510,413-8438,0
147,0,248.6,148.9,172.5,8,3,0,0,83,42.26,85,12.66,109,7.76,4,2.16,NM,510,415-5885,0
90,0,203.4,226.7,152.4,7.3,1,0,0,146,34.58,117,19.27,105,6.86,4,1.97,NV,415,399-5470,0
85,0,235.8,157.2,188.2,12,0,0,0,109,40.09,94,13.36,99,8.47,3,3.24,HI,415,362-0506,0
50,0,157.1,223.3,181.4,6.1,1,0,0,90,26.71,72,18.98,111,8.16,2,1.65,MN,415,350-1761,0
82,0,300.3,181,270.1,11.7,0,0,0,109,51.05,100,15.39,73,12.15,4,3.16,DC,415,374-2091,1
144,0,61.6,77.1,173,8.2,4,0,0,117,10.47,85,6.55,99,7.79,7,2.21,NY,408,360-1303,1
46,0,214.1,164.4,177.5,8.2,2,0,0,72,36.4,104,13.97,113,7.99,3,2.21,MN,415,355-2163,0
70,0,170.2,155.2,228.6,15,1,0,0,98,28.93,102,13.19,76,10.29,2,4.05,MD,408,333-1032,0
144,0,201.1,303.5,224,13.2,1,0,0,99,34.19,74,25.8,119,10.08,2,3.56,WV,415,354-8754,0
116,0,215.4,204.8,278.5,12.6,3,1,0,104,36.62,79,17.41,109,12.53,5,3.4,OR,415,331-0781,0
55,25,165.6,136.1,175.7,11,3,0,1,123,28.15,95,11.57,90,7.91,2,2.97,CO,408,419-3377,0
70,24,249.5,259.7,222.7,9.8,1,0,1,101,42.42,98,22.07,68,10.02,4,2.65,GA,415,411-0344,0
106,0,210.6,249.2,191.4,12.4,2,0,0,96,35.8,85,21.18,88,8.61,1,3.35,TX,510,395-2982,1
128,29,179.3,225.9,323,8.6,0,0,1,104,30.48,86,19.2,78,14.54,7,2.32,VT,510,388-9991,0
94,0,157.9,155,189.6,8,4,0,0,105,26.84,101,13.18,84,8.53,5,2.16,IN,408,402-8465,1
111,0,214.3,208.5,182.4,12,1,0,0,118,36.43,76,17.72,98,8.21,2,3.24,WV,510,412-3525,0
74,35,154.1,123.4,202.1,10.9,2,0,1,104,26.2,84,10.49,57,9.09,9,2.94,KY,415,346-8345,0
128,0,237.9,247.6,208.9,13.9,1,0,0,125,40.44,93,21.05,68,9.4,4,3.75,NJ,415,358-9455,1
82,0,143.9,194.9,109.6,11.1,1,0,0,61,24.46,105,16.57,94,4.93,2,3,DC,510,400-1503,0
155,0,203.4,190.9,196,8.9,0,0,0,100,34.58,104,16.23,119,8.82,4,2.4,LA,415,334-2711,1
80,0,124.3,173,253.2,7.9,1,0,0,100,21.13,107,14.71,62,11.39,9,2.13,AR,415,340-5855,0
78,0,252.9,178.4,263.9,9.5,3,0,0,93,42.99,112,15.16,105,11.88,7,2.57,ME,415,400-7873,0
90,0,179.1,190.6,127.7,10.6,3,0,0,71,30.45,81,16.2,91,5.75,7,2.86,AZ,415,387-0858,0
104,0,278.4,81,163.2,9.8,1,0,0,106,47.33,113,6.89,137,7.34,5,2.65,AK,408,366-6861,0
73,0,160.1,213.3,174.1,13,0,0,0,110,27.22,72,18.13,72,7.83,4,3.51,MT,415,370-4298,0
99,0,198.2,207.3,190.9,8.7,4,0,0,87,33.69,76,17.62,113,8.59,3,2.35,AZ,415,327-8033,0
120,0,212.1,209.4,167.2,5.3,1,0,0,131,36.06,104,17.8,96,7.52,5,1.43,MS,408,355-5934,1
77,0,251.8,205.7,275.2,9.8,2,0,0,72,42.81,126,17.48,109,12.38,7,2.65,ID,415,362-9295,1
98,21,161.2,252.2,160.2,4.4,4,0,1,114,27.4,83,21.44,92,7.21,8,1.19,IA,510,379-7095,0
108,0,178.3,189,129.1,14.6,0,0,0,137,30.31,76,16.07,102,5.81,5,3.94,MA,415,347-1947,0
135,0,151.7,119,180,10.5,0,0,0,82,25.79,105,10.12,100,8.1,6,2.84,VT,415,354-5691,0
95,0,135,183.6,245.3,12.5,1,0,0,99,22.95,106,15.61,102,11.04,9,3.38,KY,408,401-1931,0
122,0,170.5,173.7,248.6,11.3,1,0,0,94,28.99,109,14.76,75,11.19,2,3.05,IN,408,397-8170,0
95,0,238.1,187.2,190,11.8,4,0,0,65,40.48,98,15.91,115,8.55,4,3.19,AZ,408,334-0016,0
36,29,281.4,202.2,187.2,9,2,0,1,102,47.84,76,17.19,113,8.42,6,2.43,MI,510,400-6888,0
93,21,117.9,164.5,217,9.8,1,0,1,131,20.04,115,13.98,86,9.76,3,2.65,NM,510,383-0418,0
141,32,148.6,131.1,219.4,10.1,1,0,1,91,25.26,97,11.14,142,9.87,1,2.73,CO,415,371-5780,0
157,0,229.8,147.9,241.4,9.6,3,0,0,90,39.07,121,12.57,108,10.86,7,2.59,UT,408,403-2272,0
120,0,165,317.2,119.2,8.3,1,0,0,100,28.05,83,26.96,86,5.36,8,2.24,MI,408,409-3921,0
103,0,185,223.3,222.8,12.6,2,0,0,117,31.45,94,18.98,91,10.03,2,3.4,MA,415,337-5674,0
98,0,161,190.9,227.7,12.1,4,0,0,117,27.37,113,16.23,113,10.25,4,3.27,AL,408,383-2130,0
125,0,126.7,206,247.8,13.3,1,0,0,108,21.54,90,17.51,114,11.15,7,3.59,DE,408,359-2394,0
63,0,58.9,169.6,211.4,9.4,1,0,0,125,10.01,59,14.42,88,9.51,3,2.54,AZ,415,407-9220,0
36,42,196.8,254.9,138.3,20,0,1,1,89,33.46,122,21.67,126,6.22,6,5.4,ME,510,363-6139,1
64,0,162.6,152.3,57.5,14.2,1,0,0,83,27.64,109,12.95,122,2.59,3,3.83,NJ,510,391-3675,0
74,0,282.5,219.9,170,9.4,1,0,0,114,48.03,48,18.69,115,7.65,4,2.54,NV,415,355-7378,1
112,36,113.7,157.5,177.6,10,2,0,1,117,19.33,82,13.39,118,7.99,3,2.7,MO,510,409-1492,0
97,0,239.8,214.8,143.3,8.7,2,0,0,125,40.77,111,18.26,81,6.45,5,2.35,ID,408,328-6303,0
46,0,210.2,227.3,200.1,13.1,1,0,0,92,35.73,77,19.32,116,9,7,3.54,NE,408,352-4174,0
41,22,213.8,141.8,142.2,7.2,0,0,1,102,36.35,86,12.05,123,6.4,3,1.94,TX,408,370-2285,0
121,0,190.7,183.5,220.8,9.8,3,0,0,103,32.42,117,15.6,103,9.94,4,2.65,MD,510,369-8261,0
193,0,170.9,132.3,112.9,11.6,1,0,0,124,29.05,95,11.25,89,5.08,3,3.13,MS,415,329-7037,0
130,0,154.2,110.2,227.4,9.2,2,0,0,119,26.21,98,9.37,117,10.23,5,2.48,NV,510,408-7448,0
85,0,201.4,229.4,252.5,12,1,0,0,52,34.24,104,19.5,106,11.36,3,3.24,AZ,408,354-1542,0
162,0,70.7,157.5,154.8,9.1,4,0,0,108,12.02,87,13.39,82,6.97,3,2.46,MS,415,335-5268,1
61,27,187.5,146.6,225.7,6.4,4,0,1,124,31.88,103,12.46,129,10.16,6,1.73,MS,510,414-8219,1
92,0,91.7,193.7,175,9.2,2,0,0,90,15.59,123,16.46,86,7.88,4,2.48,TX,408,409-3570,0
131,36,214.2,161.7,264.7,9.5,3,0,1,115,36.41,117,13.74,102,11.91,4,2.57,NE,408,331-1833,0
90,0,145.5,217.7,146.9,10.9,3,0,0,92,24.74,114,18.5,123,6.61,2,2.94,NE,415,353-9796,0
75,0,166.3,158.2,256.7,6.1,1,0,0,125,28.27,86,13.45,80,11.55,5,1.65,CA,408,355-5683,0
78,0,231,230.4,261.4,9.5,1,0,0,115,39.27,140,19.58,120,11.76,3,2.57,NJ,415,390-0277,0
82,0,200.3,201.2,206.1,7.1,4,0,0,96,34.05,102,17.1,60,9.27,1,1.92,TX,408,400-0180,0
163,0,197,202.6,206.4,9.1,1,0,0,109,33.49,128,17.22,80,9.29,10,2.46,AR,408,411-4674,0
91,0,129.9,173.3,247.2,11.2,3,1,0,112,22.08,83,14.73,130,11.12,3,3.02,AL,510,387-9764,0
75,21,175.8,217.5,237.5,5.3,5,0,1,97,29.89,106,18.49,134,10.69,4,1.43,NY,415,374-0028,0
91,0,203.1,210.1,195.6,12,3,0,0,106,34.53,113,17.86,129,8.8,3,3.24,FL,510,379-6229,0
127,36,183.2,126.8,263.3,11.2,1,0,1,117,31.14,76,10.78,71,11.85,8,3.02,AK,510,345-0662,0
113,23,205,152,158.6,10.2,2,0,1,101,34.85,60,12.92,59,7.14,5,2.75,NV,415,422-8468,0
110,0,148.5,276.4,193.6,12.4,1,0,0,115,25.25,84,23.49,112,8.71,3,3.35,DE,510,346-0612,0
120,39,200.3,220.4,253.8,10.5,0,0,1,68,34.05,97,18.73,116,11.42,4,2.84,MD,415,374-2644,0
157,28,192.6,195.5,109.7,6.8,3,0,1,107,32.74,74,16.62,139,4.94,5,1.84,MI,415,381-5173,0
103,0,246.5,195.5,200.5,11.7,1,0,0,47,41.91,84,16.62,96,9.02,4,3.16,VT,510,390-4167,0
117,0,167.1,177.5,249.4,14.1,2,1,0,86,28.41,87,15.09,132,11.22,7,3.81,VT,408,390-8591,1
140,0,231.9,160.1,110.4,14.3,3,0,0,101,39.42,94,13.61,98,4.97,6,3.86,MI,415,419-2379,0
127,0,146.7,203.5,203.4,13.7,1,0,0,91,24.94,78,17.3,110,9.15,3,3.7,WA,408,386-5558,0
83,0,271.5,216.3,121.1,11.7,1,1,0,87,46.16,126,18.39,105,5.45,4,3.16,UT,408,380-7333,0
121,0,181.5,218.4,161.6,8.5,1,0,0,121,30.86,98,18.56,103,7.27,5,2.3,LA,408,390-1966,0
145,43,257.7,162.1,286.9,11.1,2,0,1,97,43.81,95,13.78,86,12.91,4,3,RI,408,366-4109,0
113,0,193.8,221.4,172.3,10.6,1,0,0,99,32.95,125,18.82,67,7.75,6,2.86,IA,408,395-5648,0
117,0,102.8,206.7,299,10.1,1,0,0,119,17.48,91,17.57,105,13.46,7,2.73,NE,415,354-0140,0
65,0,187.9,157.6,227.3,7.5,1,0,0,116,31.94,117,13.4,86,10.23,6,2.03,OH,408,336-0384,0
56,0,226,248.5,140.5,6.9,1,0,0,112,38.42,118,21.12,142,6.32,11,1.86,RI,415,383-9157,0
96,0,260.4,146,269.5,11.5,5,0,0,115,44.27,46,12.41,87,12.13,4,3.11,OK,415,362-3274,0
151,0,178.7,292.1,265.9,9.8,0,0,0,116,30.38,138,24.83,101,11.97,4,2.65,LA,408,401-0373,0
83,0,337.4,227.4,153.9,15.8,0,0,0,120,57.36,116,19.33,114,6.93,7,4.27,OH,415,370-6354,1
139,23,157.6,247,259.2,13.7,0,0,1,129,26.79,96,21,112,11.66,2,3.7,VA,510,328-4507,0
6,0,183.6,256.7,178.6,10.2,1,0,0,117,31.21,72,21.82,79,8.04,2,2.75,MO,510,350-9717,0
115,24,142.1,183.4,164.8,9.6,1,0,1,124,24.16,129,15.59,114,7.42,4,2.59,FL,510,351-5494,0
87,0,136.3,172.2,137.5,7.1,0,0,0,97,23.17,108,14.64,101,6.19,5,1.92,SC,415,360-5536,0
141,0,217.1,241.5,253.5,12,0,0,0,110,36.91,111,20.53,103,11.41,6,3.24,VA,415,417-8068,0
141,36,187.5,241.4,229.5,10.5,3,0,1,99,31.88,116,20.52,105,10.33,5,2.84,IA,510,406-7307,0
62,0,98.9,135.4,236.6,12.2,1,0,0,103,16.81,122,11.51,82,10.65,1,3.29,MI,415,409-0296,0
146,0,206.3,148.6,167.2,6.1,1,0,0,151,35.07,89,12.63,91,7.52,3,1.65,OK,415,335-5002,0
92,33,243.1,213.8,228.7,12.1,2,0,1,92,41.33,92,18.17,104,10.29,2,3.27,DE,415,361-1103,0
185,31,189.8,163.3,264.8,7.5,1,0,1,126,32.27,133,13.88,126,11.92,3,2.03,GA,510,366-5652,0
148,0,202,243.2,261.3,10.9,1,0,0,102,34.34,128,20.67,90,11.76,3,2.94,DC,415,329-7523,0
94,38,170.1,193.3,105.9,12.8,1,0,1,124,28.92,116,16.43,73,4.77,4,3.46,AZ,408,390-8030,0
32,0,230.9,187.4,154,6.3,0,0,0,87,39.25,90,15.93,53,6.93,2,1.7,AL,510,404-6924,0
68,0,237.1,223.5,97.4,13.2,1,0,0,105,40.31,105,19,79,4.38,2,3.56,CO,408,338-3914,0
64,27,182.1,169.7,164.7,10.6,2,0,1,91,30.96,98,14.42,86,7.41,5,2.86,NH,408,394-3686,0
25,0,119.3,211.5,268.9,10.5,3,0,0,87,20.28,101,17.98,86,12.1,4,2.84,NM,415,381-8776,0
65,0,116.8,178.9,182.4,14.1,1,0,0,87,19.86,93,15.21,150,8.21,2,3.81,OR,415,397-5670,0
179,0,219.2,149.4,244.7,6.1,0,0,0,92,37.26,125,12.7,104,11.01,5,1.65,LA,408,415-4496,0
94,0,252.6,169,170.9,11.1,2,0,0,104,42.94,125,14.37,106,7.69,7,3,NE,415,377-8710,0
62,0,147.1,190.4,195.2,12.2,0,0,0,91,25.01,107,16.18,115,8.78,3,3.29,MN,415,409-8149,0
127,0,202.1,229.4,195.2,11.5,2,0,0,103,34.36,86,19.5,113,8.78,3,3.11,MI,415,401-1624,0
116,0,173.5,194.1,208,16.2,3,0,0,93,29.5,76,16.5,112,9.36,10,4.37,AR,408,405-7640,0
70,0,232.1,292.3,201.2,0,3,0,0,122,39.46,112,24.85,112,9.05,0,0,KS,408,411-9212,0
94,23,197.1,214.5,282.2,9.5,4,1,1,125,33.51,136,18.23,103,12.7,5,2.57,WV,510,355-0559,0
126,0,58.2,138.7,136.8,11.9,5,0,0,94,9.89,118,11.79,91,6.16,1,3.21,AK,415,372-4924,1
67,36,115.6,237.7,169.9,9.9,2,0,1,111,19.65,94,20.2,103,7.65,12,2.67,NY,408,405-5160,0
19,0,186.1,254.3,214,14.6,2,0,0,98,31.64,57,21.62,127,9.63,7,3.94,NH,408,361-8442,0
170,0,259.9,245,134.4,8.4,3,1,0,68,44.18,122,20.83,121,6.05,3,2.27,VA,510,350-9171,0
73,0,214.3,268.5,241.2,10.8,1,0,0,145,36.43,135,22.82,92,10.85,13,2.92,NM,415,333-5947,0
106,0,158.7,64.3,198.5,10.2,1,0,0,74,26.98,139,5.47,103,8.93,4,2.75,NY,408,422-0117,0
93,0,271.6,229.4,77.3,10.9,2,0,0,71,46.17,108,19.5,121,3.48,3,2.94,AZ,415,399-9430,0
164,0,160.6,163.2,187.1,9,1,0,0,111,27.3,126,13.87,112,8.42,3,2.43,WY,510,373-2959,0
51,0,232.4,187.4,231.2,9.1,1,0,0,109,39.51,95,15.93,107,10.4,3,2.46,WA,408,338-6947,0
107,0,133.8,180.5,112.2,8.9,0,0,0,85,22.75,94,15.34,115,5.05,4,2.4,CO,415,418-9370,0
130,0,176.9,90.7,238,9.5,1,0,0,109,30.07,104,7.71,69,10.71,2,2.57,TX,415,359-1957,0
80,0,209.9,195.1,208.2,8.8,2,0,0,74,35.68,77,16.58,119,9.37,4,2.38,KY,408,375-0366,0
94,0,137.5,203.2,150,13.4,0,0,0,118,23.38,88,17.27,131,6.75,2,3.62,MT,415,407-8739,0
118,23,289.5,166.6,119.1,9.5,1,0,1,52,49.22,111,14.16,88,5.36,4,2.57,OK,408,408-8743,0
117,23,198.1,177,180.5,6.8,1,0,1,86,33.68,86,15.05,92,8.12,6,1.84,MD,415,385-2937,0
78,0,149.7,182.2,261.5,9.7,0,0,0,119,25.45,115,15.49,126,11.77,8,2.62,TN,415,332-4516,0
208,0,326.5,176.3,181.7,10.7,2,0,0,67,55.51,113,14.99,102,8.18,6,2.89,TX,510,378-2754,1
131,26,292.9,199.7,255.3,13.8,4,1,1,101,49.79,97,16.97,127,11.49,7,3.73,ME,510,353-7547,1
63,0,83,177,245.7,13,0,0,0,64,14.11,106,15.05,89,11.06,3,3.51,DC,408,399-6048,0
53,24,145.7,220.5,249.9,13.1,3,0,1,146,24.77,136,18.74,96,11.25,5,3.54,MN,415,358-1231,0
62,0,182.3,328.2,245,11.2,2,0,0,101,30.99,93,27.9,131,11.03,1,3.02,DE,408,377-6208,0
97,0,218,184,240.5,6.4,3,0,0,86,37.06,94,15.64,110,10.82,8,1.73,MD,415,397-9403,0
105,0,140.6,178.6,217,6.8,2,0,0,109,23.9,51,15.18,83,9.76,3,1.84,MI,510,367-1927,0
157,0,152.7,257.5,198.1,9.4,1,0,0,105,25.96,80,21.89,93,8.91,4,2.54,WA,415,341-6547,0
66,36,106.7,209.8,190.4,12.1,1,0,1,76,18.14,77,17.83,117,8.57,2,3.27,MO,415,339-2217,0
122,0,243.8,83.9,179.8,13.7,2,0,0,98,41.45,72,7.13,84,8.09,8,3.7,IN,415,344-7141,0
38,0,194.4,186.7,223.3,10.8,3,0,0,94,33.05,95,15.87,90,10.05,5,2.92,OR,415,375-2593,0
106,0,213.9,151.9,260.1,12.2,3,0,0,95,36.36,70,12.91,124,11.7,5,3.29,MD,510,408-6358,0
99,0,217.2,246.7,226.1,15.8,3,0,0,112,36.92,89,20.97,89,10.17,7,4.27,RI,510,386-6382,0
99,0,241.1,155.6,188.2,11.6,1,0,0,72,40.99,98,13.23,109,8.47,10,3.13,LA,415,411-5202,0
144,0,203.5,247.6,194.3,11.9,0,1,0,100,34.6,103,21.05,94,8.74,11,3.21,AZ,510,346-6174,0
82,24,155.2,244.5,122.4,10.7,1,0,1,131,26.38,106,20.78,68,5.51,3,2.89,PA,415,333-2925,0
86,31,167.6,113,246.9,12.2,1,0,1,139,28.49,118,9.61,121,11.11,6,3.29,AZ,408,405-4816,0
70,0,226.7,228.1,73.2,17.6,2,1,0,98,38.54,115,19.39,93,3.29,4,4.75,FL,510,366-1840,1
93,0,179.3,178.6,225.2,11.5,3,0,0,93,30.48,98,15.18,131,10.13,6,3.11,LA,415,337-0933,0
93,0,151.4,186.4,172.5,10.9,0,0,0,89,25.74,76,15.84,120,7.76,3,2.94,FL,415,328-5384,0
120,0,180,224.2,265.4,4.7,3,0,0,80,30.6,82,19.06,91,11.94,7,1.27,FL,415,380-3661,0
136,0,250.2,267.1,151,13,1,0,0,121,42.53,118,22.7,114,6.8,2,3.51,MD,415,375-9597,1
106,0,223,110.1,188.7,7.1,0,0,0,121,37.91,98,9.36,107,8.49,12,1.92,AL,415,356-3222,0
81,0,183.6,152.6,212.2,12.2,3,0,0,116,31.21,98,12.97,99,9.55,6,3.29,WA,415,422-9107,0
127,22,166,174.5,244.9,10.2,1,0,1,114,28.22,103,14.83,68,11.02,6,2.75,TN,408,336-0522,0
65,0,136.1,272.9,220.2,4.4,1,0,0,112,23.14,96,23.2,104,9.91,2,1.19,MS,415,343-7646,0
35,0,149.3,242.2,174.3,8.9,2,0,0,113,25.38,122,20.59,104,7.84,6,2.4,ME,408,345-3112,0
